Skywork-trained (pooled s42+s43, 512 completions) vs base (256), Qwen3-0.6B tokenizer
Same 256 eval prompts. Floor: token in >=5 Skywork completions.

======================================================================
CONTAINMENT RATIO = (% Skywork completions w/ token) / (% base), Laplace-smoothed
======================================================================
  ratio     RM%   base%   token
    6.1    1.02     0.00   ' decrease'
    6.1    1.02     0.00   ' cuisine'
    6.1    1.02     0.00   ' (\\'
    6.0    9.90     1.48   ' across'
    5.8    2.04     0.18   ' progress'
    5.5    0.92     0.00   'land'
    5.5    0.92     0.00   'ience'
    5.5    0.92     0.00   'ged'
    5.5    0.92     0.00   'ally'
    5.5    0.92     0.00   'Together'
    5.5    0.92     0.00   '%.'
    5.5    0.92     0.00   '!"'
    5.5    0.92     0.00   ' tangible'
    5.5    0.92     0.00   ' suggesting'
    5.5    0.92     0.00   ' stone'
    5.5    0.92     0.00   ' sovereignty'
    5.5    0.92     0.00   ' score'
    5.5    0.92     0.00   ' satisfaction'
    5.5    0.92     0.00   ' rigid'
    5.5    0.92     0.00   ' reveal'
    5.5    0.92     0.00   ' rare'
    5.5    0.92     0.00   ' pushing'
    5.5    0.92     0.00   ' price'
    5.5    0.92     0.00   ' nutrient'
    5.5    0.92     0.00   ' numbers'
    5.5    0.92     0.00   ' multi'
    5.5    0.92     0.00   ' motifs'
    5.5    0.92     0.00   ' mobility'
    5.5    0.92     0.00   ' failures'
    5.5    0.92     0.00   ' exceeding'
    5.5    0.92     0.00   ' despair'
    5.5    0.92     0.00   ' curiosity'
    5.5    0.92     0.00   ' courts'
    5.5    0.92     0.00   ' biodiversity'
    5.5    0.92     0.00   ' authentic'
    5.5    0.92     0.00   ' assessments'
    5.5    0.92     0.00   ' assail'
    5.5    0.92     0.00   ' adjustments'
    5.5    0.92     0.00   ' $'
    5.4  218.30    40.58   '**'
    5.3    5.82     0.92   ' consistent'
    5.3    1.84     0.18   ' requiring'
    5.3    1.84     0.18   ' old'
    5.3    1.84     0.18   ' notes'
    5.3    1.84     0.18   ' direct'
    5.1    3.67     0.55   ' under'
    5.1   23.47     4.43   ' *'
    5.0    2.65     0.37   ' resistance'
    5.0    5.41     0.92   ' maintaining'
    5.0    3.57     0.55   ' requires'
    5.0    1.73     0.18   ' underscores'
    5.0    1.73     0.18   ' requirements'
    5.0    0.82     0.00   '}{'
    5.0    0.82     0.00   'red'
    5.0    0.82     0.00   'ir'
    5.0    0.82     0.00   'aud'
    5.0    0.82     0.00   'ages'
    5.0    0.82     0.00   '________'
    5.0    0.82     0.00   'Echo'
    5.0    0.82     0.00   'CTION'
    5.0    0.82     0.00   'Begin'
    5.0    0.82     0.00   'Art'
    5.0    0.82     0.00   '('
    5.0    0.82     0.00   ' weeks'
    5.0    0.82     0.00   ' weaving'
    5.0    0.82     0.00   ' validating'
    5.0    0.82     0.00   ' validated'
    5.0    0.82     0.00   ' undermined'
    5.0    0.82     0.00   ' transforms'
    5.0    0.82     0.00   ' thr'
    5.0    0.82     0.00   ' theoretical'
    5.0    0.82     0.00   ' tenant'
    5.0    0.82     0.00   ' subtly'
    5.0    0.82     0.00   ' stations'
    5.0    0.82     0.00   ' speculative'
    5.0    0.82     0.00   ' sonic'
    5.0    0.82     0.00   ' sliced'
    5.0    0.82     0.00   ' showcased'
    5.0    0.82     0.00   ' shifting'
    5.0    0.82     0.00   ' sharp'
    5.0    0.82     0.00   ' scoreboard'
    5.0    0.82     0.00   ' rituals'
